a52dec 0.7.4-11
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
picom 8.2-1
pinentry 1.1.1-1
pipewire 1:0.3.31-1
pixman 0.40.0-1
pkgconf 1.7.3-1
platformio 5.1.1-1
playerctl 2.3.1-1
polkit 0.119-1
polkit-qt5 0.114.0-1
poppler 21.06.1-1
poppler-data 0.4.10-1
poppler-glib 21.06.1-1
poppler-qt5 21.06.1-1
popt 1.18-1
powerline-common 2.8.2-2
powerline-fonts 2.8.2-2
procps-ng 3.3.17-1
protobuf 3.17.3-1
psmisc 23.4-1
pulseaudio 14.2-3
purpose 5.83.0-1
pygtk 2.24.0-12
python 3.9.5-3
python-aiofiles 0.7.0-1
python-ajsonrpc 1.1.0-1
python-anyio 3.2.1-1
python-anytree 2.8.0-3
python-appdirs 1.4.4-3
python-beaker 1.11.0-6
python-blessings 1.7-7
python-bottle 0.12.19-3
python-cachecontrol 0.12.6-3
python-cairo 1.20.0-3
python-cffi 1.14.5-1
python-chardet 4.0.0-2
python-click 8.0.1-1
python-colorama 0.4.4-3
python-configobj 5.0.6.r110.g3e2f4cc-1
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-curtsies 0.3.5-1
python-cwcwidth 0.1.4-1
python-distlib 0.3.2-1
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-gobject 3.40.1-1
python-greenlet 1.1.0-1
python-h11 0.12.0-1
python-html5lib 1.1-6
python-httptools 0.2.0-1
python-idna 3.2-1
python-lxml 4.6.3-1
python-mako 1.1.4-1
python-markdown 3.3.4-1
python-markupsafe 2.0.1-1
python-marshmallow 3.12.1-1
python-more-itertools 8.7.0-1
python-msgpack 1.0.2-2
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pep517 0.10.0-2
python-pip 20.3.4-1
python-ply 3.11-7
python-progress 1.5-5
python-psutil 5.8.0-1
python-pycparser 2.20-3
python-pyelftools 0.27-1
python-pygments 2.9.0-1
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyserial 3.5-2
python-requests 2.25.1-1
python-resolvelib 0.5.5-1
python-retrying 1.3.3-9
python-semantic-version 2.8.5-3
python-setuptools 1:57.0.0-2
python-six 1.16.0-1
python-sniffio 1.2.0-3
python-starlette 0.14.2-1
python-tabulate 0.8.9-1
python-toml 0.10.2-3
python-urllib3 1.26.5-1
